ADC_BIN,COUNT,SMOOTH
183,5,"143,947368421053"
184,3,"143,052631578947"
185,3,"141,736842105263"
186,3,"140,789473684211"
187,3,"139,473684210526"
188,2,"139,842105263158"
189,2,"138,263157894737"
190,2,"136,736842105263"
191,3,"136,473684210526"
192,3,"135,578947368421"
193,4,"136,578947368421"
194,2,"136,631578947368"
195,3,"136,526315789474"
196,2,"135,894736842105"
197,5,"134,052631578947"
198,4,"133,421052631579"
199,1,"132,631578947368"
200,3,"130,210526315789"
201,6,"129,947368421053"
202,4,"130,789473684211"
203,3,"130,315789473684"
204,5,"130,789473684211"
205,4,"132,105263157895"
206,5,"132,631578947368"
207,6,"132,157894736842"
208,1,"132,789473684211"
209,3,"133,842105263158"
210,4,"134,684210526316"
211,2,"136,210526315789"
212,2,"137,578947368421"
213,1,"139,578947368421"
214,5,"140,263157894737"
215,3,"140,526315789474"
216,3,"140,631578947368"
217,1,141
218,4,"143,263157894737"
219,3,"146,684210526316"
220,0,"148,631578947368"
221,3,"150,578947368421"
222,3,"153,210526315789"
223,5,"153,157894736842"
224,3,"152,578947368421"
225,1,"153,578947368421"
226,5,"156,052631578947"
227,6,"158,526315789474"
228,3,160
229,5,"162,210526315789"
230,4,"164,578947368421"
231,1,"165,578947368421"
232,4,"168,105263157895"
233,3,"171,263157894737"
234,0,"174,473684210526"
235,4,"178,894736842105"
236,4,"182,421052631579"
237,4,"185,947368421053"
238,5,"188,894736842105"
239,5,"190,421052631579"
240,7,"190,210526315789"
241,3,"192,157894736842"
242,5,"197,052631578947"
243,5,"201,421052631579"
244,4,205
245,3,"207,368421052632"
246,3,"209,736842105263"
247,5,"212,578947368421"
248,4,"216,263157894737"
249,4,219
250,10,"222,578947368421"
251,3,"225,368421052632"
252,7,"229,105263157895"
253,1,"232,684210526316"
254,3,"235,526315789474"
255,6,"239,421052631579"
256,5,"239,526315789474"
257,4,"241,473684210526"
258,7,"245,789473684211"
259,6,"251,473684210526"
260,6,"255,052631578947"
261,9,"258,631578947368"
262,8,"261,052631578947"
263,11,"265,421052631579"
264,5,"268,473684210526"
265,3,"273,105263157895"
266,6,"278,736842105263"
267,6,"285,105263157895"
268,7,"290,052631578947"
269,3,"293,368421052632"
270,5,"295,578947368421"
271,9,"299,315789473684"
272,9,"301,894736842105"
273,5,"305,684210526316"
274,7,310
275,5,"318,473684210526"
276,9,"323,631578947368"
277,9,"328,157894736842"
278,10,"335,526315789474"
279,7,"340,947368421053"
280,11,"347,736842105263"
281,6,353
282,5,"357,105263157895"
283,5,"362,789473684211"
284,10,"366,052631578947"
285,6,"369,789473684211"
286,6,"372,421052631579"
287,7,"374,684210526316"
288,7,"378,052631578947"
289,9,"382,631578947368"
290,14,"385,263157894737"
291,8,"391,21052631579"
292,9,396
293,7,"397,789473684211"
294,12,"400,578947368421"
295,5,"404,368421052632"
296,14,"408,052631578947"
297,8,"408,157894736842"
298,7,"412,368421052632"
299,7,"412,21052631579"
300,17,"416,21052631579"
301,4,418
302,8,"421,842105263158"
303,9,"422,842105263158"
304,4,"422,578947368421"
305,5,"421,21052631579"
306,7,"422,578947368421"
307,9,"423,894736842105"
308,5,"425,684210526316"
309,9,"426,789473684211"
310,14,"427,631578947368"
311,7,"427,263157894737"
312,7,"429,947368421053"
313,7,"426,894736842105"
314,5,"426,789473684211"
315,5,"425,157894736842"
316,9,"424,052631578947"
317,5,"423,21052631579"
318,17,"422,21052631579"
319,17,417
320,5,"413,105263157895"
321,7,"407,421052631579"
322,12,"406,684210526316"
323,7,"404,842105263158"
324,5,"403,473684210526"
325,8,"400,421052631579"
326,10,"398,052631578947"
327,6,"393,21052631579"
328,13,"390,421052631579"
329,13,"384,789473684211"
330,5,"382,421052631579"
331,4,"379,526315789474"
332,7,"377,947368421053"
333,5,"374,315789473684"
334,5,"369,842105263158"
335,11,"364,315789473684"
336,6,357
337,6,"352,789473684211"
338,6,"352,578947368421"
339,4,"352,105263157895"
340,4,"351,105263157895"
341,3,"347,052631578947"
342,10,"342,894736842105"
343,7,"335,684210526316"
344,12,"327,052631578947"
345,3,324
346,7,"323,684210526316"
347,9,"320,736842105263"
348,5,"318,894736842105"
349,5,"315,894736842105"
350,8,"309,736842105263"
351,7,"305,947368421053"
352,7,"301,947368421053"
353,5,"300,157894736842"
354,6,301
355,7,"301,526315789474"
356,10,"303,526315789474"
357,4,"300,789473684211"
358,3,"298,052631578947"
359,6,"296,157894736842"
360,6,"296,631578947368"
361,4,"298,526315789474"
362,3,"303,526315789474"
363,9,"310,21052631579"
364,8,"312,21052631579"
365,9,"312,157894736842"
366,13,"313,684210526316"
367,7,314
368,3,"312,526315789474"
369,9,"314,842105263158"
370,10,317
371,12,"318,631578947368"
372,8,"320,526315789474"
373,7,"321,789473684211"
374,11,"322,473684210526"
375,5,"321,21052631579"
376,7,"324,526315789474"
377,5,"326,368421052632"
378,10,329
379,5,"331,789473684211"
380,8,"332,631578947368"
381,7,"332,684210526316"
382,3,"333,21052631579"
383,7,"331,736842105263"
384,16,"333,21052631579"
385,9,"333,263157894737"
386,6,"335,526315789474"
387,14,"339,894736842105"
388,6,"342,736842105263"
389,9,"344,631578947368"
390,11,"347,736842105263"
391,6,"349,421052631579"
392,6,"351,473684210526"
393,6,"355,473684210526"
394,14,"358,157894736842"
395,5,361
396,11,"363,736842105263"
397,6,"369,21052631579"
398,6,"372,21052631579"
399,13,"375,105263157895"
400,8,"376,578947368421"
401,9,"380,473684210526"
402,8,"387,21052631579"
403,12,"392,421052631579"
404,5,"397,052631578947"
405,8,"399,736842105263"
406,9,"402,789473684211"
407,4,"406,315789473684"
408,8,"409,631578947368"
409,11,"412,315789473684"
410,9,"415,842105263158"
411,10,"417,21052631579"
412,10,"420,684210526316"
413,5,"422,578947368421"
414,10,"424,894736842105"
415,11,"424,736842105263"
416,19,421
417,6,"420,263157894737"
418,12,"422,052631578947"
419,8,"426,947368421053"
420,20,431
421,10,"430,315789473684"
422,9,"430,21052631579"
423,10,"431,263157894737"
424,11,"432,947368421053"
425,6,"436,105263157895"
426,10,"436,947368421053"
427,7,"440,578947368421"
428,9,"443,052631578947"
429,7,"444,736842105263"
430,11,"448,684210526316"
431,12,"445,263157894737"
432,13,"444,105263157895"
433,10,"442,421052631579"
434,14,"446,684210526316"
435,4,"449,052631578947"
436,9,"450,421052631579"
437,7,"450,631578947368"
438,7,"447,894736842105"
439,6,"446,263157894737"
440,10,"445,578947368421"
441,12,443
442,7,"440,315789473684"
443,9,"436,526315789474"
444,7,"432,631578947368"
445,6,"428,526315789474"
446,15,"422,736842105263"
447,9,"415,368421052632"
448,8,"410,842105263158"
449,7,"404,789473684211"
450,6,"405,421052631579"
451,7,"404,105263157895"
452,10,"400,684210526316"
453,9,"396,263157894737"
454,5,394
455,10,"389,368421052632"
